psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
1_7_1,0.032222979567935725,0.06116492165151138,0.15597066101090565,0.31020991018495603,0.2350370824268551,0.12457765463359759,0.054003595303313785,0.02096327785230801,0.004358514463386036,0.0014914029052306287
1_8_1,0.026966197374982265,0.054297069082768684,0.16780772372318642,0.34674245753310695,0.23621809761777007,0.10428621119492708,0.04270146722254725,0.01634886284045982,0.0033596914295658084,0.0012722219806856367
1_10_1,0.01242884837678534,0.018644236694608896,0.05260622537778678,0.17871368050138195,0.27820544687239984,0.2577833354896755,0.12728143619049048,0.06313283535172026,0.009442985264699572,0.0017609698804512584
2_3_1,0.04176709413670821,0.09963899736665655,0.14572954147993056,0.1854671582187686,0.13959792735979457,0.1656949353252742,0.14540868258426223,0.0633692305105167,0.011142860275819259,0.0021835727422692447
3_1_1,0.03095669812045402,0.06881401080641777,0.21332484691517112,0.3151364090510715,0.2562420239647054,0.0742039226764128,0.027177385575629896,0.01028981927213761,0.0028100280343870674,0.0010448555836128554
5_4_1,0.022603404017696466,0.0382338402630818,0.0888711183908422,0.1942399480693377,0.22029315556659823,0.19427532376933201,0.13441322494311653,0.08451673068330855,0.01999570346947719,0.0025575508272091853
7_8_2,0.011321501217916334,0.021134938070322018,0.05191700960618987,0.1761625515781667,0.22585325651531313,0.2528723957504588,0.15949135154039745,0.08298559457575429,0.016002570052652487,0.002258831092828965
7_9_2,0.032342600536536203,0.10974218360215864,0.2600002056410791,0.3674702060089248,0.14786769269335479,0.04880574819013048,0.022968412670562623,0.007423556634501365,0.00235990548951618,0.0010194885332359634
9_1_1,0.024135525438541177,0.07239401763694363,0.30078686487384637,0.35866693496712715,0.1816356316818095,0.041065872067695755,0.013734048667109833,0.005271291787589501,0.0016015292077401723,0.0007082836715968748
9_3_1,0.022816623136431874,0.0667364229419358,0.2650099907489021,0.3460898889924231,0.20487801027848912,0.0601614059363289,0.02311784695377045,0.007994032955674734,0.0023052965705413838,0.000890481485502484
10_6_2,0.03484443785014055,0.14713875136249654,0.2780359708466497,0.2861289194434702,0.14481853561925884,0.06068222395864796,0.03207690590507502,0.011625815914095882,0.003393763941344776,0.0012546751588203926
12_7_1,0.030029009681461022,0.12350127795184666,0.4377519314510172,0.25915243664930926,0.10653453770877573,0.02690779766633179,0.010301696734356143,0.0040462755484579616,0.0011838354067485123,0.0005912012016956808
13_3_2,0.02266236712356557,0.04429301168266732,0.0900608264036033,0.16474435960174538,0.19907227009294426,0.18941824397058812,0.16191265334578808,0.1045264770660937,0.020875392107564228,0.0024343986054400856
15_4_1,0.028894790025488847,0.19015735170235978,0.5609421801281771,0.15708591033551036,0.04245571335653939,0.01133356089074417,0.005231798054482547,0.002586988668647451,0.0008769081137540191,0.00043479872429648544
15_8_1,0.02881811390762781,0.11113978616865135,0.34033088674716283,0.2542307501929943,0.13474550620869957,0.06623890690404104,0.038156665032628025,0.019935545723949507,0.005006818313296361,0.0013970208009491927
15_9_2,0.028554095713821327,0.17863155422264035,0.4890318223021435,0.20243707640442274,0.06635709204056675,0.018868020225175072,0.00920635398816924,0.004865005102230693,0.001428677288304487,0.0006203027125258835
15_11_2,0.03854863017312651,0.24236097331623838,0.5224751450586081,0.1400679975344057,0.03667068761882123,0.009881369904031009,0.005763465919946214,0.002827966418790816,0.0009473997129434345,0.0004563643430885808
16_7_1,0.01667413259268289,0.0313700411916984,0.09283716336333228,0.21283218680887223,0.32214185577291776,0.20483384330521254,0.07815733065985904,0.032440344377875456,0.007122621308054492,0.0015904806194950887
16_8_1,0.06632346818478144,0.2627803229712097,0.35289938779597024,0.12876809719548193,0.08056654964172279,0.05712079030667197,0.0326118545495732,0.014140118202645881,0.0036077079541473327,0.0011817031977957452
16_9_1,0.025079092348176336,0.05778577411138357,0.159799686410369,0.25367664324533346,0.26570926028499076,0.147027808244105,0.06032497899655206,0.023436306437254823,0.005643955308833731,0.0015164946130011197
17_3_1,0.01583896419500032,0.03240150103045431,0.0720994452220567,0.13775439423053834,0.29366234105382943,0.2923308898256481,0.10303040245409234,0.04363431138904825,0.007492694723549668,0.0017550558757825777
17_6_1,0.054546689371076235,0.15761875545790474,0.23915933743805665,0.16122051653126598,0.17775561344663093,0.1128580141902136,0.06536361103983068,0.02369377120959205,0.005957412673922236,0.0018262786415068023
18_2_1,0.05484705491151325,0.14121604001077234,0.22496069646772088,0.21615527031576365,0.1702377986620601,0.10489911698247593,0.05861144252185566,0.02208193947845252,0.005381451521021625,0.0016091891283641518
18_8_1,0.05949008845476991,0.16743903761554912,0.24727268317502984,0.19218575654341863,0.16179477797226466,0.08773220686364357,0.05695372719711533,0.020510556357102805,0.005051637662770767,0.0015695281583352457
19_3_1,0.05250821283300994,0.17918235321297996,0.36049821936256915,0.2164872294377297,0.1155887289266332,0.03959997210575584,0.022989773965817414,0.009093384462080556,0.002937821941397079,0.0011143037520271759
20_3_1,0.03498617539448408,0.18478206811861805,0.4794293750118561,0.18763176543675866,0.0786471812360944,0.020941542997642854,0.007949862035845254,0.0037461349204953405,0.0013085080803159352,0.000577386767889323
21_1_2,0.03626207584128051,0.24315095595085134,0.5169033553044989,0.1309213969551492,0.04293132950901386,0.014988577664235869,0.008517856101579438,0.004438077720627886,0.0013240785893569881,0.0005622963634061249
21_2_1,0.04569191058659382,0.2189149139848114,0.47962747350837986,0.17184533520647463,0.054601573519338184,0.015803031006715696,0.007509888005097551,0.00414667775081856,0.001280670049336498,0.0005785263824340386
21_5_1,0.02945521757974779,0.07156245847557643,0.1666345856922705,0.1980986685098778,0.18154151828911178,0.1665897947444934,0.10264282390048417,0.06748236134964386,0.013653252149272814,0.0023393193095215615
24_6_1,0.05136959531274476,0.11804755774546491,0.26059297092768907,0.30792247340420936,0.14977202283991595,0.06227120979335685,0.03360068081623866,0.011872895014417635,0.0032685804918832465,0.0012820136540795403
24_7_1,0.04300506907149209,0.15148723451116902,0.3339143622368082,0.27301282120846926,0.12324632427120606,0.04269519209486154,0.021948134735192228,0.0075014723932317375,0.0022065052991843176,0.0009828841783856067
25_7_5,0.05816601421193374,0.11194334628506425,0.27700245032659426,0.32944366357177124,0.13699469149783652,0.04867277537934607,0.026670265197118355,0.007640064199016726,0.0024288788513069375,0.0010378504800118307
26_1_2,0.03470369872215959,0.10140255806613327,0.1970815019327178,0.24567144631614174,0.2780369089039121,0.09357626932190036,0.0342505542786823,0.010641410561891515,0.0034561887421669904,0.0011794631542943587
26_2_1,0.02791611338931374,0.06392861032057542,0.16124608559961778,0.28379568548843914,0.3095041114106654,0.1071799087392674,0.032084121980041305,0.010111778779111723,0.0031439780479502067,0.0010896062450177241
26_3_2,0.020776705604213148,0.05677006300026021,0.15995352357405956,0.26993906556960673,0.31157927683970293,0.12438094607586087,0.03973876628970694,0.012209324627719585,0.0035341059452442,0.001118222473625837
26_7_1,0.029957976419028386,0.05482170155766903,0.15139107888182318,0.2847584979004258,0.31729040691950156,0.11063090281119906,0.035433679490722805,0.011257638067838888,0.003320819831973735,0.0011372981198176826
28_8_1,0.030619036761186928,0.09155922141892082,0.27868720275961967,0.3553195778291995,0.1525656360260844,0.05497548358433854,0.024818263279946604,0.008179387532748016,0.0022735390446287414,0.0010026517633267736
29_1_1,0.04088920400137492,0.2134360310933355,0.3364545876358366,0.22449059394078974,0.10320846844488775,0.0475359855827145,0.020899733135718673,0.009314525828154079,0.002753804500343875,0.0010170658368443414
29_2_1,0.057426411470578774,0.2916057568280435,0.3514732501338084,0.15993553526088944,0.07348416612190958,0.03407505301353745,0.019465462667314446,0.00883531803224473,0.0027002785640924667,0.00099876790758112
30_1_1,0.03925035166966128,0.1442061990795024,0.24407376239746095,0.26835553063009043,0.15332630496086785,0.08758254952258777,0.04113753801376834,0.0165012667929699,0.004163170586415029,0.0014033263466759621
30_4_1,0.03364524564394583,0.1166239502458487,0.2880611048082983,0.29251933127741275,0.152303950922137,0.06862898566222904,0.03134693049996303,0.01264392243556641,0.003074330320764987,0.0011522481838339522
31_2_1,0.06816007707402519,0.16877057900694656,0.28595616217509123,0.21621377104237846,0.17422891620246825,0.04809228098742852,0.026044120119474316,0.008379951686254982,0.0029967685617876176,0.0011573731441448243
31_3_1,0.034869324033084965,0.07770700870152275,0.21361983255606928,0.3279606027778496,0.250643422487839,0.06586017606867743,0.019623130792473357,0.006385298115937988,0.002417812090455585,0.0009133923760901326
32_3_1,0.010522606254443779,0.026590679916510755,0.0912033365339011,0.24916496189834053,0.4586343849150144,0.12742855815808582,0.024422468094707783,0.00831694486718494,0.002911479406976719,0.0008045799548343468
32_7_1,0.023001556525513077,0.07934443562599507,0.20396555347562656,0.23668470637906225,0.3382315507934945,0.08743515845007223,0.021193563361784296,0.006603976580142807,0.0026411524129759576,0.0008983463953333921
32_9_1,0.013040750697112516,0.029877580249098867,0.10211825311446401,0.23207932132868658,0.41392196247203994,0.1544090489293694,0.0371072778200819,0.012489336462675908,0.003939829038990717,0.0010166398874801134
33_5_1,0.028689606137136177,0.14803476835412777,0.3066053520269311,0.22096795711335382,0.1749486995452951,0.07847361138618608,0.027036791819715595,0.010964805787227448,0.0031852583947145517,0.0010931494353123457
33_8_1,0.047130427917302216,0.2119024220283789,0.28819780676075596,0.18729530784274248,0.14888014543343636,0.07103752314114643,0.029098200111493465,0.011575413594464106,0.003656677857795457,0.0012260753124844574
36_1_1,0.04892311233552908,0.15644499278372773,0.3198705883324355,0.26024105739321396,0.14119173484196057,0.040773319576751774,0.021642847623950925,0.007347273067443028,0.0024825485780901524,0.0010825254668972086
36_6_1,0.023173117581724464,0.09348416544719682,0.26742122772211674,0.3404435954891155,0.1796469789932354,0.061923907245407174,0.02248872321505705,0.007890378293804278,0.0025275782928707055,0.0010003277194717585
